wl_permit,Horizontal_depth,Vertical_depth,normalized_E,duration,conductor,surface,intermediate,liner_length,latitude,longitude,year
28448,2890.570068,2949.429932,0.373326788,4,0,495,0,0,48.97589428,-100.6458238,2014
29085,6981.90039,10754.09961,0.085163184,21,106,2191,11364,11003,47.76973644,-102.5981238,2014
30183,5064.90039,10330.09961,0.089790563,15,0,1843,10735,5618,48.05336641,-102.8719781,2015
90294,124.0097656,10330.09961,1.270833066,14,97,1478,8035,0,46.1727328,-103.9527074,2015
28649,240.7002,10766.2998,0.452026581,16,0,8250,11065,10473,48.06122849,-103.602006,2015
28919,4748.2998,10861.7002,0.003379683,12,0,1878,10930,10459,47.8247097,-102.7928795,2015
31131,247.40039,10873.59961,0.289549652,15,0,2032,11159,10958,47.96358473,-103.5364453,2015
28876,238.2998,10179.7002,0.055572272,15,0,2099,10464,11752,48.37161875,-103.1178426,2015
90121,1122.549805,7997.450195,0.039040706,26,40,535,3527,4680,46.13567765,-103.9530244,2008
28631,326.110352,9007.889648,0.470677226,15,102,1704,9377,11079,48.69093791,-103.633437,2014
30375,349.2002,10366.7998,0.204658952,14,275,1949,10746,10183,48.28686153,-103.5807798,2015
29686,494.7998,11143.2002,0.036736733,17,0,2320,11143,10630,48.17025304,-103.2795866,2015
90120,2290.709961,8038.290039,0.52569147,29,0,523,3530,4586,46.21138353,-103.9938468,2008
29006,190.7002,10793.2998,0.60638558,14,0,1744,11030,9831,47.62986441,-102.944607,2015
29933,340.2998,10686.7002,0.414401753,11,0,2040,10869,12780,48.04665051,-102.7073486,2015
29084,454.7002,10939.2998,0.191023533,16,106,2192,11464,11224,47.76974986,-102.5979202,2015
29273,295,10730,0.58643709,14,0,2322,11057,10228,48.2275545,-103.6817232,2014
30050,4374.090088,3351.909912,0.012559913,15,0,378,0,3838,48.77154907,-100.9024441,2015
28608,4063.769531,9394.230469,0.239431677,9,0,2070,9684,4478,47.96457129,-102.2418515,2015
30913,282,11141,0.04704634,22,0,2120,11432,10691,47.71810998,-102.9292828,2015
30232,278.09961,10588.90039,0.455912435,14,0,1983,10916,10863,48.03022191,-103.0444022,2015
28648,0.240234,6835.759766,0.530389215,15,0,2185,11080,10220,48.06140941,-103.6020047,2015
29509,9152.40039,10742.59961,0.030344307,14,0,2207,11099,9706,48.28314959,-103.5271212,2015
29590,5269.629883,9453.370117,0.015290085,11,0,2069,9806,11797,47.92247755,-102.1723185,2015
29299,6199.849609,9456.150391,0.134691708,11,0,2113,9879,6801,47.93533746,-102.1994376,2015
28740,5839.480469,9402.519531,0.341684052,8,0,1942,9497,6323,47.96155539,-102.2302734,2015
29840,9763.09961,11109.90039,0.179896045,18,100,2271,11381,10172,48.11589192,-103.5158092,2015
30693,8817.990234,9196.009766,0.119760148,22,0,2020,9476,9246,48.04248727,-102.2002613,2015
30444,14049.05957,9172.94043,0.099032703,23,0,2150,9470,14728,48.03863829,-102.1320948,2015
29126,6812.339844,9312.660156,0.168419189,9,0,2067,9462,7361,47.93527552,-102.1557685,2015
29323,9846.080078,9329.919922,0.250930205,12,102,1784,9664,10503,48.59814779,-103.6661283,2015
29507,11897.90039,10747.09961,0.04336503,20,0,2186,10982,11088,48.28314959,-103.5273678,2015
29860,322.90039,11075.09961,0.429314123,13,80,2190,11372,10570,48.11200548,-103.3232035,2015
29063,5726.2002,10355.7998,0.048134559,12,105,2070,10603.9,6220,48.10964365,-102.5650263,2015
28862,10817.40039,10472.59961,0.022224331,15,0,2431,10476,10809,48.21017834,-102.603138,2015
29051,339.7998,10721.2002,0.063443551,29,0,1872,11094,10916,47.84605335,-102.9669484,2015
30112,6619.889648,9907.110352,0.081722321,12,80,1520,10131,10177,48.28330332,-103.0555604,2015
28863,11062.59961,10600.40039,0.043649965,13,0,2417,10596,11041,48.21017821,-102.6030026,2015
29601,4446.7998,10752.2002,0.040489692,16,0,2203,11039,4951,47.23961958,-102.9223124,2014
29648,232.560059,8006.439941,0.389827132,10,0,1558,8289,10836,48.95149074,-103.6715618,2015
29808,10955.2998,10784.7002,0.511807448,13,112,2278,11057,11418,47.78819263,-103.0318475,2015
29092,5265.90039,10892.09961,0.196726719,15,0,2503,11775,11523,48.1710443,-103.1645018,2015
28757,2021.90039,10850.09961,0.224248069,15,0,2350,11225,11178,47.21129062,-102.9156165,2015
30066,9746.879883,8184.120117,0.172715547,11,0,1476,8380,10457,48.92243848,-103.6233774,2015
29066,10103.2002,11200.7998,0.221944548,14,0,2395,11170,10085,47.67535536,-103.3159632,2015
28881,9913.2998,10506.7002,1.680761743,16,0,2066,11008,10347,48.08188485,-102.6260531,2015
30620,9522.69043,9615.30957,0.29452616,17,0,2040,10027,0,48.50364527,-102.986399,2015
28934,15148.75,8367.25,0.363111927,19,104,1804,8787,15457,48.80846818,-103.0339915,2014
28915,9989.59961,10848.40039,0.042318695,16,0,2026,10786,9968,48.14075095,-102.7065625,2015
29017,9931.40039,11025.59961,0.024669287,23,0,1962,11347,0,47.75913818,-103.1276272,2015
29596,10296.59961,10452.40039,0.028609806,15,0,1967,10674,10503,47.87565625,-102.5254795,2015
29058,10156.09961,11071.90039,0.343336916,13,0,1980,11431,10568,47.87763882,-103.2068429,2015
31508,9789.2002,11217.7998,0.045748828,10,0,2275,11544,9447,47.96297835,-103.3448816,2015
28913,9846.7998,10833.2002,0.014903241,15,0,2049,10776,9814,48.14074982,-102.7062918,2015
28880,9931.7002,10675.2998,0.639801419,16,0,2055,11057,20556,48.08188057,-102.6272816,2015
29303,9751.7002,10843.2998,0.765303058,11,110,2146,11038,10286,47.93613462,-103.7795743,2015
28914,10003,10708,0.013373165,10,0,2050,10681,9988,48.14075039,-102.7064272,2015
29521,9754.90039,10710.09961,2.573557818,19,0,2485,11102,10322,48.22784641,-103.7086354,2015
29577,9747.5,11075.5,0.22685233,21,0,2063,11394,9106,47.846752,-103.1600524,2015
